2021-04-20 00:03:55.800 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.806 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.812 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.819 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.825 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.832 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.838 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.844 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.851 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.857 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.863 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.870 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.876 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.882 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.889 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.896 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.902 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.908 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.915 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.921 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.934 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.940 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.946 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:55.953 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
